section,key,type,order,text,subtext,body,note,src,alt,href,mediaType,meta
site,pageTitle,text,10,UNDER GREEN | Who Owns the Seed?,,,,,,,,
site,description,text,20,ディストピア違法農場経営シュミレーション「UNDER GREEN」公式サイト,,,,,,,,
site,favicon,image,30,,,,,asset:icons/seed.webp,,,,
intro,code,text,10,ARCHIVE 08-14 // RESTORED TEXT,,,,,,,,
intro,line,paragraph,20,人類はいま、核戦争によって壊滅した地球において、緩やかな滅亡へと向かっている。,,,,,,,,
intro,line,paragraph,30,土も空気も汚染され、地下シェルターへと逃げ延びた人々は、食料生産企業によって厳しく統制されている。,,,,,,,,
intro,line,paragraph,40,人類史をとおして長らく続いた武器による支配は、食料生産独占による支配に置き換わった。,,,,,,,,
intro,line,paragraph,50,ホコリと鉄サビにまみれたシェルター。,,,,,,,,
intro,line,paragraph,60,失われた知識を手に、禁じられた食糧生産を始めた主人公。,,,,,,,,
intro,line,paragraph,70,その行為は人類の未来になにをもたらすのだろうか？,,,,,,,,
intro,loadingRestore,text,80,RESTORING ARCHIVE...,,,,,,,,
intro,loadingVerify,text,90,VERIFYING RESTORED DATA...,,,,,,,,
intro,loadingGranted,text,100,ACCESS GRANTED,,,,,,,,
intro,loadingManual,text,110,MANUAL ACCESS,,,,,,,,
intro,skipInitial,text,120,SKIP,,,,,,,,
intro,skipReady,text,130,ENTER NOW,,,,,,,,
intro,status,text,140,UNLICENSED SIGNAL / CH. 004,,,,,,,,
header,siteLabel,text,10,OFFICIAL WEBSITE,,,,,,,,
header,logo,image,20,,,,,asset:Logo/title_logo.webp,UNDER GREEN,,,
header,nav,nav,30,GAME,システム,,,,,,,system
header,nav,nav,40,STORY,物語,,,,,,,world
header,nav,nav,50,CHARACTERS,人物,,,,,,,characters
header,nav,nav,60,CREDITS,制作,,,,,,,credits
header,nav,nav,70,PLAY,開発情報,,,,,,,play
header,nav,nav,80,CONTACT,通信,,,,,,,contact
header,liveLabel,text,90,LIVE CULTIVATION,,,,,,,,
header,audioLabel,text,100,SOUND,,,,,,,,
header,audioStart,text,110,START,,,,,,,,
header,audioWait,text,120,WAIT,,,,,,,,
header,audioOn,text,130,ON,,,,,,,,
header,audioOff,text,140,OFF,,,,,,,,
header,audioPlayAria,text,150,ゲーム音を再生,,,,,,,,
header,audioStopAria,text,160,ゲーム音を停止,,,,,,,,
header,statusConnecting,text,165,DAY 01 · CONNECTING,,,,,,,,
header,statusGrowing,text,170,GROWING,,,,,,,,
header,statusPaused,text,180,PAUSED,,,,,,,,
game,loading,text,10,LOADING CURRENT GAME BUILD...,,,,,,,,
game,demoTitle,text,20,レタスを育てて収穫しよう！,,,,,,,,
game,frame,embed,30,UNDER GREEN ゲーム体験版,,,,page:official-demo.html?officialdemo=1&build=20260822toolboxlock2,,,,
game,guideTitle,text,40,HOW TO CULTIVATE,,,,,,,,
game,guideStep,guide,50,切り替え,,右下ツールボックス上でホイール,,,,,,
game,guideStep,guide,60,植える,,「植える」→種保管庫のレタスを空PODへドラッグ,,,,,,
game,guideStep,guide,70,育てる,,霧吹きをレタスへドラッグ（何度でも成長促進）,,,,,,
game,guideStep,guide,80,掃除,,バケツを汚れたPODへドラッグ,,,,,,
game,localTitle,text,90,LOCAL SERVER REQUIRED,,,,,,,,
game,localBody,text,100,ゲーム本体のCSVと3Dモジュールを読み込むため、play-local.batを起動して http://127.0.0.1:8766/official/ を開いてください。,,,,,,,,
world,kicker,text,10,WORLD // ARCHIVE 01,,,,,,,,
world,title,rich,20,星は死に,緑は消えた,,,,,,,
